critics_reviews_count,description,developer,genre,genre_tags,link,maturity_rating,metascore,platform,publisher,release_date,title,user_reviews_count,user_score
7,"Mantis Burn Racing is an arcade style top-down racer with stunning visuals, a comprehensive single-player career mode, and a deep, RPG-style upgrade system. [VooFoo Studios]",VooFoo Studios,PlayStation 4 Racing Games,Racing,http://www.metacritic.com/game/playstation-4/mantis-burn-racing,E,71,PlayStation 4,VooFoo Studios,2016-10-12,Mantis Burn Racing,19,75
4,Slam your paw to the floor and power slide between the pines as you face-off against up to three friends in multiplayer split screen. Includes twelve tracks spread across three worlds and three game modes with up to eleven computer-controlled opponents. Bears Can’t Drift!? is retro karting action with a modern look and feel. [Playstation.com],Strangely Named Studio,PlayStation 4 Racing Games,Racing,http://www.metacritic.com/game/playstation-4/bears-cant-drift!,E10+,53,PlayStation 4,Strangely Named Studio,2016-08-30,Bears Can't Drift!?,NA,NA
57,"A whimsical, colorful game with an emphasis on playful exploration and creativity.",Honeyslug Ltd,PlayStation 4 Adventure Games,General,http://www.metacritic.com/game/playstation-4/hohokum,E10+,75,PlayStation 4,SCEA,2014-08-12,Hohokum,97,62
6,"Also known as Out Of This World, Another World is a pioneer action/platformer that released across more than a dozen platforms since its debut in 1991. Along the years, Another World has attained cult status among critics and sophisticated gamers alike.",The Digital Lounge,PlayStation 4 Adventure Games,Action,http://www.metacritic.com/game/playstation-4/another-world-20th-anniversary-edition,T,53,PlayStation 4,The Digital Lounge,2014-07-08,Another World: 20th Anniversary Edition,48,58
26,"Fuelled by EA SPORTS IGNITE, FIFA 14 feels alive with players who think, move, and behave like world-class footballers, and dynamic stadiums that come to life. Players have four times the decision making ability and feel alive with human-like reactions, anticipation, and instincts. With 10 times more animation depth and detail than previous consoles, FIFA 14 delivers the dynamic movements and biomechanics of the worlds best footballers. Players are agile and athletic as they plant, pivot and cut, and explode out of each step. The increased fidelity has a game-changing effect on gameplay. Plus, the artistry and athleticism of footballers will come to life with the addition of hundreds of new types of skills and hundreds of new behaviors. And for the first time ever, fans will feel the electricity of a living stadium as the emotions of new 3D crowds rise and fall around the stories on the pitch.",EA Canada,PlayStation 4 Sports Games,Sports,http://www.metacritic.com/game/playstation-4/fifa-14,E,87,PlayStation 4,EA Sports,2013-11-12,FIFA 14,635,63
13,"See every nuance of a player’s face, equipment, and clothing as the line blurs between the players in the game and their real-life counterparts. Up to 4x the texture resolution breathes new life into stadiums, crowds, the field, and even the ball itself. Combined with high-fidelity animations that deliver smooth, authentic-looking player interactions, Madden NFL 25 promises to deliver Next Definition visuals.",EA Sports,PlayStation 4 Sports Games,Sports,http://www.metacritic.com/game/playstation-4/madden-nfl-25,E,74,PlayStation 4,Electronic Arts,2013-11-12,Madden NFL 25,118,52
20,"Shadow Warrior is bold reimagining of 3D Realms' cult classic shooter from developer Flying Wild Hog (Hard Reset) and independent game label Devolver Digital (Serious Sam 3: BFE, Hotline Miami, LUFTRAUSERS) for PC and next-gen consoles.  Blending the viciously over-the-top gunplay of its predecessor with the elegant precision of the powerful katana, Shadow Warrior is an imaginative take on the classic arcade-style shooter.",Flying Wild Hog,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/shadow-warrior,M,70,PlayStation 4,Majesco Games,2014-10-21,Shadow Warrior,109,74
18,"Battlefield 4 is an action blockbuster that aims for unrivaled destruction. Fueled by Frostbite 3, Battlefield 4 allows you to demolish the buildings shielding your enemy. You will lead an assault from the back of a gun boat. Battlefield grants you the freedom to do more and be more while playing to your strengths and carving your own path to victory. Beyond its hallmark multiplayer, Battlefield 4 features an intense, dramatic character-driven campaign that starts with the evacuation of American VIPs from Shanghai and follows your squad's struggle to find its way home. Change the landscape in real-time with interactive environments that react to your every move. Dominate land, air and sea with all-new, intense water-based vehicular combat.",EA DICE,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/battlefield-4,M,85,PlayStation 4,Electronic Arts,2013-11-12,Battlefield 4,1673,70
20,"NBA 2K14 promises to raise the bar yet again, providing the best basketball gaming experience for legions of sports fans and gamers around the world.",Visual Concepts,PlayStation 4 Sports Games,Sports,http://www.metacritic.com/game/playstation-4/nba-2k14,E,85,PlayStation 4,2K Sports,2013-11-12,NBA 2K14,373,65
21,"Sportsfriends is a tight-knit compendium of local multiplayer games for living rooms, parties, and even backyards. Features: retro-styled fighting game BaraBariBall, QWOP-like pole vault dueling game Super Pole Riders, high-velocity sports game Hokra, and face-to-face physical party game Johann Sebastian Joust.",Die Gute Fabrik,PlayStation 4 Sports Games,Sports,http://www.metacritic.com/game/playstation-4/sportsfriends,E10+,82,PlayStation 4,Die Gute Fabrik,2014-05-06,Sportsfriends,81,63
25,"BounceTek -- Revolutionary physics-based dribbling allows for complete, organic control and authentic responsiveness. Utilize a full suite of dribble moves to unleash ankle-breaking crossovers, hesitations and more. CourtQ Delivers Real Time NBA -- Leveraging live synergy Sports Technology data, NBA LIVE 14 is driven by over 70 player ratings, tendencies, and team stats updated every NBA game, ensuring that your game is always in-sync with the real NBA. With fresh content and challenges updated on a daily basis, NBA LIVE 14 delivers a new experience each and every time you pick up the controller, delivering the pulse of the NBA 24/7/365.",EA Sports,PlayStation 4 Sports Games,Arcade,http://www.metacritic.com/game/playstation-4/nba-live-14,E,43,PlayStation 4,Electronic Arts,2013-11-19,NBA Live 14,175,27
17,"MLB 14 The Show is a realistic baseball game that allows players to feel the MLB experience with moments such as when you're called up to the majors, a sacrifice fly to left field, or crushing a walk-off homer to win it all.",SCEA San Diego Studios,PlayStation 4 Sports Games,Sports,http://www.metacritic.com/game/playstation-4/mlb-14-the-show,E,83,PlayStation 4,SCEA,2014-05-06,MLB 14: The Show,206,77
11,"The eldest daughter of the Greenbriar family returns after a year abroad. She expects her parents and sister to greet her. Instead she finds only a deserted house, filled with secrets. Where is everyone? And what's happened here? Find out for yourself in Gone Home, a first-person game entirely about exploration, mystery and discovery. The house is yours to explore as you see fit. Open any drawer or door to investigate what's inside. Piece together the mysteries from notes and clues woven into the house itself. Discover the story of a year in the life of the Greenbriar family. Dig deeper. Go home again.","The Fullbright Company, Midnight City",PlayStation 4 First-Person Games,Adventure,http://www.metacritic.com/game/playstation-4/gone-home-console-edition,M,85,PlayStation 4,The Fullbright Company,2016-01-12,Gone Home: Console Edition,413,45
37,Layers of Fear is a psychedelic horror where you take control over an insane painter in his quest to finish his magnum opus.,Bloober Team,PlayStation 4 First-Person Games,Adventure,http://www.metacritic.com/game/playstation-4/layers-of-fear,M,75,PlayStation 4,Aspyr,2016-02-16,Layers of Fear,116,77
82,"You awaken, alone, on a strange island full of puzzles that challenge and surprise you. You can't remember who you are, and you don't remember how you came to be here, but there's one thing you can do: explore the island in hope of discovering clues, regaining your memory, and somehow finding your way home. The Witness is a single-player game in an open world with dozens of locations to explore and over 500 puzzles to solve. This game respects you as an intelligent player and it treats your time as precious. There's no filler; each of those puzzles brings its own new idea into the mix.","Thekla, Inc",PlayStation 4 First-Person Games,Miscellaneous,http://www.metacritic.com/game/playstation-4/the-witness,E,87,PlayStation 4,"Thekla, Inc",2016-01-26,The Witness,557,71
91,"The era is the Stone Age, a time of imminent peril and limitless adventure, when giant mammoths and sabretooth tigers rule the globe, and humanity is at the low end of the food chain. As the last survivor of your hunting group, you will learn to build a deadly arsenal, fight off dangerous predators, and outsmart enemy tribes to conquer the land of Oros and become the Apex Predator. You'll assume the role of Takkar, a seasoned hunter and the last surviving member of your group. You have a single goal: survive in a world where you are the hunted. Grow your tribe and sharpen your skills to lead your people, conquer the land of Oros, and become the apex predator. Encounter a cast of memorable characters who can help push back the dangers of the wild. Face enemy tribes who will do anything to eradicate you and your allies. [Ubisoft]",Ubisoft Montreal,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/far-cry-primal,M,76,PlayStation 4,Ubisoft,2016-02-23,Far Cry Primal,730,64
7,"Create, play and share your own FPS experiences. Mash-up your favourite classics into something amazing!",Blowfish Studios,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/gunscape,T,61,PlayStation 4,Blowfish Studios,2016-03-01,Gunscape,4,50
45,"In Firewatch you play as a man named Henry who has retreated from his messy life to work as a fire lookout in the Wyoming wilderness. Perched high atop a mountain, it’s your job to look for smoke and keep the wilderness safe. An especially hot and dry summer has everyone on edge. Your supervisor, a woman named Delilah, is available to you at all times over a small, handheld radio — and is your only contact with the world you've left behind. But when something strange draws you out of your lookout tower and into the world, you’ll explore a wild and unknown environment, facing questions and making interpersonal choices that can build or destroy the only meaningful relationship you have.",Campo Santo,PlayStation 4 First-Person Games,Adventure,http://www.metacritic.com/game/playstation-4/firewatch,M,76,PlayStation 4,Panic Inc.,2016-02-09,Firewatch,473,67
19,"The first of four planned DLC map packs, Awakening features 4 new multiplayer maps - Skyjacked, Rise, Splash, and Gauntlet - and the next chapter in the Black Ops 3 Zombies saga, Der Eisendrache.",Treyarch,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/call-of-duty-black-ops-iii---awakening,NA,74,PlayStation 4,Activision,2016-02-02,Call of Duty: Black Ops III - Awakening,45,53
11,"Screencheat is the ridiculous split-screen shooter where everyone is invisible so you have to screencheat (Screencheat - verb: to look at your opponents screens. Stop screencheating you cheater!). Master a wide variety of one-hit kill weapons including a blunderbuss, a car engine that shoots bouncing plasma balls and a teddy bear loaded with explosives. Train your skills in the solo time trials then engage in fast and frantic combat with up to eight players locally on the couch or online. With colourful maps, unique modes and a huge number of customisation options including wacky mutators, Screencheat is the ultimate party FPS.",Samurai Punk,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/screencheat,E10+,69,PlayStation 4,Surprise Attack,2016-03-01,Screencheat,NA,NA
22,"Kholat was developed by independent studio IMGN.PRO, inspired by true events known as the ""Dyatlov Pass Incident"". We follow the path of a group of Russian students which went for an expedition in the northern Ural Mountains. The team does not reach its goal, the entire crew dies in mysterious circumstances. The player is thrown into the area where the tragedy occurred, years after the actual event, with a chance to discover the real course of the tragedy. Atmosphere of anxiety is dosed based on what the player is doing, making each gameplay a unique experience. [IMGN.PRO]",IMGN.PRO,PlayStation 4 First-Person Games,Adventure,http://www.metacritic.com/game/playstation-4/kholat,T,64,PlayStation 4,IMGN.PRO,2016-03-08,Kholat,27,57
13,"A story-driven puzzler. It’s a dark comedy about a legendary game that has been stuck in development hell for 20 years, and only you can save it.",Question,PlayStation 4 First-Person Games,Adventure,http://www.metacritic.com/game/playstation-4/the-magic-circle-gold-edition,M,76,PlayStation 4,Question,2016-04-26,The Magic Circle: Gold Edition,8,71
7,Fight among the factories of Sullust and battle within Jabba the Hutt's palace on Tatooine.,EA DICE,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/star-wars-battlefront-outer-rim,T,70,PlayStation 4,Electronic Arts,2016-04-05,Star Wars Battlefront: Outer Rim,34,59
12,"In the latest episode of the Zombies experience, the Origins characters head to 'Zetsubou No Shima', a tropical island where experiments with Element 115 have created horrors beyond belief. Battle your way through four stunning Black Ops III Multiplayer environments: Spire, Knockout, Verge and Rift.",Treyarch,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/call-of-duty-black-ops-iii---eclipse,NA,74,PlayStation 4,Activision,2016-04-19,Call of Duty: Black Ops III - Eclipse,19,38
31,"Overwatch is a highly stylized team-based shooter set on earth in the near future. Every match is an intense multiplayer showdown pitting a diverse cast of soldiers, mercenaries, scientists, adventurers, and oddities against each other in an epic, globe-spanning conflict.",Blizzard Entertainment,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/overwatch,T,90,PlayStation 4,Blizzard Entertainment,2016-05-23,Overwatch,1636,63
43,"Coming to Xbox One, the all-in-one games and entertainment system from Microsoft, PlayStation 4, PC, Mac and Linux in 2015, Homefront: The Revolution throws players into a near future dystopia. Catastrophic events have brought the United States to its knees and enabled the Korean People's Army forces to impose a brutal military occupation. Trapped in this American nightmare, Philadelphia has become a police state, where surveillance drones and armored patrols keep her once-proud citizens at heel, crushing any dissent with totalitarian force.",Deep Silver Dambuster Studios,PlayStation 4 First-Person Games,Modern,http://www.metacritic.com/game/playstation-4/homefront-the-revolution,M,48,PlayStation 4,Deep Silver,2016-05-17,Homefront: The Revolution,239,40
55,"Battleborn is a next-gen hero-shooter brought to you by the creators of the award-winning and best-selling Borderlands franchise. In Battleborn’s distant future, the only hope for the last star in a dying universe is a new breed of warriors, who must put aside their differences to drive back an unstoppable menace. Choose from a myriad of powerful heroes and fight together alongside your friends in an intense co-operative campaign, or battle against them in fast-paced competitive multiplayer matches.",Gearbox Software,PlayStation 4 First-Person Games,Sci-Fi,http://www.metacritic.com/game/playstation-4/battleborn,T,68,PlayStation 4,2K Games,2016-05-03,Battleborn,405,68
4,"An action-focused and hardcore single-player shooter which embraces the paradigmatic qualities that the genre has it offer. It includes over-the-top destruction, myriads of enemies, weapon variety, a challenging campaign and a cyberpunk setting.",Flying Wild Hog,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/hard-reset-redux,M,69,PlayStation 4,Gambitious,2016-06-03,Hard Reset Redux,14,73
9,"From the studio that brought you Master Reboot comes a first-person story-driven adventure puzzle game, set in the beautiful, haunting cyber-world of Elysia. Collect unique hand powers, discover multiple endings and choose your own destiny as you unravel the mystery of your digital afterlife.",Wales Interactive Ltd.,PlayStation 4 First-Person Games,Adventure,http://www.metacritic.com/game/playstation-4/soul-axiom,T,47,PlayStation 4,Wales Interactive Ltd.,2016-06-07,Soul Axiom,4,48
50,"Through Mirror’s Edge Catalyst, experience the emergence of Faith, a brave Runner who uncovers a hidden truth inside the walls of the city of Glass. Through her journey, Faith explores every corner of the city, from the highest, most pristine skyscrapers, to the dark and dingy tunnels that underlie the city. Players must master the environment, using their momentum and timing their combat to fight the oppressiveness of the ruling elite, uncovering the dark secrets behind the city’s beautiful façade. Mirror’s Edge Catalyst offers players the freedom to explore the expanse of the city, discovering a variety of new activities, like ‘Dash’, races from point A to B, environmental puzzles and story missions to complete at their leisure. [EA]",EA DICE,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/mirrors-edge-catalyst,T,69,PlayStation 4,Electronic Arts,2016-06-07,Mirror's Edge Catalyst,546,55
13,"Asemblance is a single-player, first-person, psychological thriller. You awake to find yourself trapped inside an experimental machine. A machine built to simulate memories. You have no idea how you got here… But to break the cycle, you must look into a past that you may not want to remember.",Nilo Studios,PlayStation 4 First-Person Games,Adventure,http://www.metacritic.com/game/playstation-4/asemblance,T,61,PlayStation 4,Nilo Studios,2016-06-21,Asemblance,12,49
16,"It’s an open-world sandbox game to play alone, via splitscreen, or online, that gives you an enormous amount of freedom to choose how to survive in a post-apocalyptic world. You’re dropped into a harsh environment with almost nothing – not even clothes on your back. Through scavenging, crafting, and hunting, you’ll eventually put together the basic items you’ll need to live. You’ll have to deal with cold, heat, hunger and thirst, and there are wild animals that see you as prey. But that’s not the worst, because you’re not alone — the undead wander all around you. Slow and relatively easy to avoid by day, at night they become merciless, fast-moving killers, hungry for your flesh.",The Fun Pimps Entertainment LLC,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/7-days-to-die,M,45,PlayStation 4,Telltale Games,2016-06-28,7 Days to Die,171,58
11,"NERO is a first person adventure game based on puzzle solving and exploration. NERO is a wonderful journey in an magic world where a kid is the key to all locks and the nights is not as frightening as you could think. Play the role of this kid, followed by a mysterious black cloathed companion, discovering the truth behind this epic journey. Use the Sphere of Light to interact with the environment, explore and experience emotions and feelings that are uncommon in videogames, with a brand new next-generation visual novel reshaping the genre.","Vertigo Games, Storm in a Teacup",PlayStation 4 First-Person Games,Adventure,http://www.metacritic.com/game/playstation-4/nero-nothing-ever-remains-obscure,E,59,PlayStation 4,Soedesco,2016-06-24,N.E.R.O.: Nothing Ever Remains Obscure,5,72
15,"Among The Sleep invites you into the mind and body of a two year old child. After being put to bed one evening, mysterious things start to happen.  Being played in first person, the game lets its players immerse themselves in a child's limitless imagination. This is a perspective we all have a distant familiarity with, but few can clearly remember what it felt like. In the borderland between dream and reality, surreal creatures and diverse environments will present you with both physical and mental obstacles that challenge your creativity.",Krillbite Studio,PlayStation 4 First-Person Games,Adventure,http://www.metacritic.com/game/playstation-4/among-the-sleep,T,66,PlayStation 4,Krillbite Studio,2016-07-26,Among the Sleep,32,68
5,Hawken is a multiplayer mech combat game. The focus is on creating an intense and enjoyable battle experience that captures the feeling of piloting a heavy war machine while keeping the action fast-paced and strategic.,"Reloaded Games Inc., Reloaded Games",PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/hawken,T,58,PlayStation 4,505 Games,2016-07-08,HAWKEN,27,57
4,"Armed with a revolutionary new weapon of mass Orc Slaying, your mission is one of pure revenge. Using your new crossbow and an array of special bolts, Slay your way across the land on a frenzied rampage towards the heart of the Orc Invasion.",Cooply Solutions,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/orc-slayer,T,15,PlayStation 4,Cooply Solutions,2016-07-19,Orc Slayer,16,11
5,NA,Bloober Team,PlayStation 4 First-Person Games,Adventure,http://www.metacritic.com/game/playstation-4/layers-of-fear-inheritance,M,61,PlayStation 4,Aspyr,2016-08-02,Layers of Fear: Inheritance,8,70
8,"Descent takes the fight to new Black Ops III Multiplayer environments, including Cryogen: an isolated cryo-prison; Berserk: a Viking village frozen in time; Rumble: a future robot combat arena; and Empire: a re-imagining of the Call of Duty Black Ops II classic, Raid, as a lavish Roman villa. [Activision]",Treyarch,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/call-of-duty-black-ops-iii---descent,M,68,PlayStation 4,Activision,2016-07-12,Call of Duty: Black Ops III - Descent,NA,NA
5,"Unto the Evil is the first of three DLC Packs bringing all-new multiplayer content to DOOM. Players get three new maps to dominate, one new playable demon to unleash, a new weapon to master, a new equipment item to vary their arsenal, and a host of new armor sets, taunts, and Hack Modules to customize their experience.",id Software,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/doom-unto-the-evil,M,75,PlayStation 4,Bethesda Softworks,2016-08-04,DOOM: Unto The Evil,NA,NA
4,"It’s 11 PM, and you are in front of the last house on your route. The lights are on, and the front door is opened. But the windows are all boarded up and the grass is overgrown. It seems like a strange place to deliver a pizza… Freely roam the house and try to figure out what is going on. This may be your last pizza delivery. [Playstation.com]",SKH Apps,PlayStation 4 First-Person Games,Adventure,http://www.metacritic.com/game/playstation-4/emily-wants-to-play,T,75,PlayStation 4,SKH Apps,2016-08-09,Emily Wants To Play,4,68
83,"Hidden in the towering Himalayas lies a country steeped in tradition and violence. You are Ajay Ghale, returning to the country of your birth, the lush forests and harsh snow capped summits of Kyrat, to fulfill your mother’s dying wish of spreading her ashes. This vast and unpredictable country offers visitors opportunity and danger. You quickly find yourself caught up in a rebellion to overthrow the oppressive regime of Pagan Min, a figure known as much for his sense of style and charisma as for his cruelty and naked brutality. Navigating the treacherous landscape, you find your fate increasingly determined by the choices you make because in Kyrat, and every second is a story. In Far Cry 4, you’ll conquer fortress outposts from the back of a 6-ton elephant and take to the skies as you rain down explosives from your moving perch in the gyrocopter. The vertical landscape of the Himalayas isn’t just a gorgeous backdrop, but a playground that encourages the player to fight, hunt and explore, grappling cliffs or launching into the air, plummeting to the valley below in a controlled free fall with your wing suit. You’ll carry with you a truly unique arsenal of weaponry that lets you play your way, whether it’s sniping, sneaking or all-out assault. When all else fails, animals can be your biggest allies or your greatest peril, as Kyrat’s wilderness delivers on the promise of a true open world anecdote factory.",Ubisoft Montreal,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/far-cry-4,M,85,PlayStation 4,Ubisoft,2014-11-18,Far Cry 4,1766,77
19,Verdun is a squad based multiplayer first person shooter set in the first world war. Inspired by the infamous battle of Verdun in 1916 players are able to take part in never seen before WWI action. Made by 3 indie developers from BlackMill and M2H.,Blackmill Games,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/verdun,M,56,PlayStation 4,M2H,2016-08-30,Verdun,30,74
6,"Enter the surreal world of The Unfinished Swan and explore a mysterious, hidden kingdom. Your journey will be led by a runaway swan who guides you through strange levels filled with bizarre creatures. Discover the land through innovative new game mechanics such as splatting paint on a white surface to uncover your surroundings. Each level will bring new twists, challenges, and puzzles until you eventually come face-to-face with the eccentric King that built this realm.",Armature Studio,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/the-unfinished-swan,E10+,83,PlayStation 4,SCEA,2014-10-28,The Unfinished Swan,146,75
15,"Players must explore and survive a valley at the top of the Himalayas in Kyrat after Ajay’s helicopter crashes and leaves him stranded on a dangerous ridge. In order to stay alive, players must capture a camp for shelter and guard it from a mysterious cult. But even if successful against the cult, they must keep a lookout for the fabled and extremely dangerous yetis that populate the territory. [Ubisoft]",Ubisoft Montreal,PlayStation 4 First-Person Games,Action,http://www.metacritic.com/game/playstation-4/far-cry-4-valley-of-the-yetis,M,74,PlayStation 4,Ubisoft,2015-03-10,Far Cry 4: Valley of the Yetis,37,74
