critics_reviews_count,description,developer,genre,genre_tags,link,maturity_rating,metascore,platform,publisher,release_date,title,user_reviews_count,user_score
4,"Crush It takes fans back into authentic stadiums for racing and freestyle events including the site of Monster Jam World Finals — Sam Boyd Stadium. Choose your favorite official Monster Jam trucks such as Grave Digger, Max-D, Monster Mutt, and many more.",Maximum Games,Xbox One Racing Games,Action,http://www.metacritic.com/game/xbox-one/monster-jam-crush-it!,E,36,Xbox One,GameMill Entertainment,2016-10-25,Monster Jam: Crush It!,NA,NA
8,Sebastien Loeb Rally Evo is an off-road racing game experience that teams players with the greatest racer in Rally history: Sebastien Loeb.,Milestone S.r.l,Xbox One Racing Games,Racing,http://www.metacritic.com/game/xbox-one/sebastien-loeb-rally-evo,E,63,Xbox One,Square Enix,2016-01-29,Sebastien Loeb Rally Evo,22,82
22,"Fire your rockets. High-octane team sports. Get behind the wheel of a high-flying, hard-hitting rocket powered car and drive into the Rocket League arena. Choose from a variety of vehicles to drive and customise in this football-meets-destruction derby team sport and master the skills youll need to fire home the goals. Soar high into the air to perform daring acrobatic strikes and daredevil saves, or use aggressive tactics to take down rival players at supersonic speeds.","Psyonix, Panic Button",Xbox One Sports Games,Sports,http://www.metacritic.com/game/xbox-one/rocket-league,E,87,Xbox One,505 Games,2016-02-17,Rocket League,220,83
6,"Also known as Out Of This World, Another World is a pioneer action/platformer that released across more than a dozen platforms since its debut in 1991. Along the years, Another World has attained cult status among critics and sophisticated gamers alike.",The Digital Lounge,Xbox One Adventure Games,Action,http://www.metacritic.com/game/xbox-one/another-world-20th-anniversary-edition,T,65,Xbox One,The Digital Lounge,2014-06-25,Another World: 20th Anniversary Edition,27,36
18,"Offensive and Defensive line play is the foundation of Madden NFL 25. Lineman are more than just physical, they are intelligent. Coupled with the ability to make 4x more decisions per second, 300 new blocking interactions create the most realistic running lanes for the ballcarrier and passing pockets for the QB. Offensive lineman will dynamically sort and shift assignments based on threats and angles, starting with intelligently identifying the center of the defense, the “Mike”, countering the over 3x new defensive line moves and the latest blitz packages. Authentic double teams, blitz pick-ups, and line shifts showcase line units working together as one, highlighting the most physical and intense battles in the NFL.",EA Sports,Xbox One Sports Games,Sports,http://www.metacritic.com/game/xbox-one/madden-nfl-25,E,73,Xbox One,Electronic Arts,2013-11-19,Madden NFL 25,112,58
7,"This new chapter in the Call of Duty franchise features a unique dynamic in which players are on the side of a crippled nation fighting not for freedom, or liberty, but simply for survival. 10 years after a devastating mass event, the nation's borders and the balance of global power have been permanently redrawn. As what's left of the nation's Special Operations forces, a surreptitious group known only as ""Ghosts"" leads the fight back against a newly emerged, technologically-superior global power. There are over 20 NEW Kill Streaks in Call of Duty: Ghosts — such as Juggernaut Maniac, Helo-Scout, Vulture and the ODIN Strike. You can even bring in Riley, from the single-player campaign, as your guard dog to warn you when enemies approach, and to attack enemies if they get too close to your person.",Infinity Ward,Xbox One First-Person Games,Action,http://www.metacritic.com/game/xbox-one/call-of-duty-ghosts,M,78,Xbox One,Activision,2013-11-19,Call of Duty: Ghosts,700,42
43,D4 is an episodic murder mystery for the Xbox One where you must use your ability to go back in time to solve the mystery of your wife's murder.,Access Games,Xbox One Adventure Games,Action,http://www.metacritic.com/game/xbox-one/d4-dark-dreams-dont-die,M,76,Xbox One,Microsoft Game Studios,2014-09-19,D4: Dark Dreams Don't Die,299,72
22,"Shooting has been transformed. Players now have the intelligence to adjust their stride and approach angle to find the best position for hitting the back of the net. Well-hit balls feel satisfying and goals are rewarding. As well as quality strikes, players can now shoot while off balance or rushed.",EA Canada,Xbox One Sports Games,Sim,http://www.metacritic.com/game/xbox-one/fifa-14,E,88,Xbox One,EA Sports,2013-11-19,FIFA 14,334,58
12,Onslaught includes four unique Multiplayer Maps. An all-new dual purpose Assault Rifle/Sniper Rifle/ The first installment in Extinction's four-part episodic narrative.,Infinity Ward,Xbox One First-Person Games,Action,http://www.metacritic.com/game/xbox-one/call-of-duty-ghosts---onslaught,M,65,Xbox One,Activision,2014-01-28,Call of Duty: Ghosts - Onslaught,43,41
39,"Peggle 2 injects players into the peg-popping vista of the original while delivering an array of new features and functionality. Peggle 2 offers all-new levels, new and improved power-ups, fantastic multiplayer modes, gesture controls with Kinect for Xbox One, the ability to customize the ""Peggle Masters"" who host the game, and much more.",PopCap,Xbox One Action Games,Miscellaneous,http://www.metacritic.com/game/xbox-one/peggle-2,E,77,Xbox One,Electronic Arts,2013-12-09,Peggle 2,213,72
39,"Many generations have passed since the human colonists of Planet Draco lost contact with Earth, and they have reached a fragile truce with the native dragons. Now they face the return of an old threat, a colossal destroyer known as the White Phantom. In Crimson Dragon, use Kinect to control your dragon and repel the violent enemy life forms. Teach your dragon new skills, and train it to become strong enough to face combat in harder missions. Bring your trained dragon online to take on missions in co-op.",Grounding Inc.,Xbox One Action Games,Shooter,http://www.metacritic.com/game/xbox-one/crimson-dragon,T,55,Xbox One,Microsoft Game Studios,2013-11-22,Crimson Dragon,256,65
69,"Available only on Xbox One, Dead Rising 3 is set ten years following the events of Fortune City in Dead Rising 2. Players are introduced to Nick Ramos, a young mechanic with a bizarre tattoo and an mysterious past, who has to find a way to escape a city full of zombies before a coming military strike wipes the city of Los Perdidos, California, and everyone in it, off the face of the Earth. Nick cannot do it on his own – he must hook up with other survivors to stay alive. They've got to fight their way out before it’s too late.",Capcom Vancouver,Xbox One Action Games,General,http://www.metacritic.com/game/xbox-one/dead-rising-3,M,78,Xbox One,Microsoft Game Studios,2013-11-22,Dead Rising 3,906,69
51,"The iconic fighting game franchise is back with upgraded visuals, over-the-top action, a wild cast of combatants, rocking reactive music, and C-C-C-Combo Breakers. Choose from a diverse set of characters, each with fluid animations, unique combat tactics, and flashy special attacks. Utilize an open-ended combo system to rack up massive combos as your opponent looks for openings to break your flow and turn the tides of battle. Go online and test yourself against players from all over the world, or bone up on your combat skills in detailed tutorials.",Double Helix Games,Xbox One Action Games,Action,http://www.metacritic.com/game/xbox-one/killer-instinct,T,73,Xbox One,Microsoft Game Studios,2013-11-22,Killer Instinct,626,63
6,"Just Dance 2014, the sequel to Just Dance 4, brings all new moves with features for every motion control platform and over 40 of the hottest tracks and dances.",Ubisoft,Xbox One Action Games,Dancing,http://www.metacritic.com/game/xbox-one/just-dance-2014,E10+,71,Xbox One,Ubisoft,2013-11-19,Just Dance 2014,58,70
5,"Battlefield 4 is a first-person shooter that aims for unrivaled destruction. Fueled by Frostbite 3, Battlefield 4 allows you to demolish the buildings shielding your enemy. You will lead an assault from the back of a gun boat. Battlefield grants you the freedom to do more and be more while playing to your strengths and carving your own path to victory. Beyond its hallmark multiplayer, Battlefield 4 features an intense, dramatic character-driven campaign that starts with the evacuation of American VIPs from Shanghai and follows your squad's struggle to find its way home. Change the landscape in real-time with interactive environments that react to your every move. Dominate land, air and sea with all-new, intense water-based vehicular combat.",EA DICE,Xbox One First-Person Games,Action,http://www.metacritic.com/game/xbox-one/battlefield-4,M,81,Xbox One,Electronic Arts,2013-11-19,Battlefield 4,493,66
6,"After a dizzying escape from a near-almost-certain-death scenario (involving statuesque buttocks), Rhys and Fiona are in search of another piece of the puzzle that will lead them to the vast riches of Vault key ownership. Lost in the mysterious jungle of an Atlas terraforming facility, Fiona finds help from an unexpected mentor, Rhys continues to share brain-space with the disembodied mind of a dead dictator, and love is in the air. Pursued by the ruthless criminal 'Queenpin' Vallory, and with very little help from Vaughn's accountancy skills (or stellar abs), getting anywhere near the Vault is entirely on you.",Telltale Games,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/tales-from-the-borderlands-episode-3---catch-a-ride,M,65,Xbox One,Telltale Games,2015-06-24,Tales From The Borderlands: Episode 3 - Catch A Ride,17,71
10,"In this penultimate episode, the actions of every Forrester are vital to the survival of the house. Rodrik's alliance with House Glenmore, and his defiance of the Whitehills, has drawn the ire of an even greater threat: Ramsay Snow. Far across the Narrow Sea in Essos, with Meereen now a free city, Asher is close to securing the army he desperately needs to return home, and save his family. In King's Landing, Mira's activities at Tommen's coronation have not escaped the attention of Margaery Tyrell, and Cersei has realized that the handmaiden may prove useful in her political games. Finally, beyond the Wall, Gared's unlikely allies are reluctant to help in the search for the North Grove... but this far into the frozen wilds, Crows and Free Folk have a common enemy; and winter is coming.",Telltale Games,Xbox One Adventure Games,Action,http://www.metacritic.com/game/xbox-one/game-of-thrones-episode-five---a-nest-of-vipers,M,72,Xbox One,Telltale Games,2015-07-22,Game of Thrones: Episode Five - A Nest of Vipers,15,70
26,"King’s Quest is a collection of 5 different chapter releases, each focusing on an untold tale in Graham’s past. In each installment, an aging King Graham reflects on his life of adventure with his granddaughter, Gwendolyn, while players are thrust back to influence first-hand the decisions and events that shaped a kingdom. Embark on an extraordinary journey across the world of Daventry. [Sierra]",The Odd Gentlemen,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/kings-quest-chapter-1-a-knight-to-remember,E10+,80,Xbox One,Sierra Games,2015-07-29,King's Quest Chapter 1: A Knight to Remember,40,76
12,"Paris in the spring. Shots ring out from a gallery… A robbery… a murder… and the beginning of another epic, original Broken Sword adventure. From Revolution Software comes the latest explosive episode in this classic series.",Revolution Software,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/broken-sword-5-the-serpents-curse,T,77,Xbox One,Revolution Software,2015-09-04,Broken Sword 5: The Serpent's Curse,11,72
4,"In Whispering Willows, the player takes on the role of Elena, a determined young girl with the extraordinary ability to project her spirit outside of her body. In her spectral form, Elena can interact with the benevolent spirits and wicked wraiths that used to dwell within the walls of the sinister Willows Mansion - lost souls, stuck in time and space, who hold the secrets that Elena will need to traverse the terrifying old manor. Players need to make use of Elenas corporeal and ethereal forms to overcome obstacles, solve the riddles of the mansions enigmatic specters, and find Elenas lost father.","Abstraction Games, Night Light Interactive",Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/whispering-willows,T,57,Xbox One,Night Light Interactive,2015-08-28,Whispering Willows,5,66
7,Magnetic is a first person puzzle game that lets you manipulate and master magnetic forces. The mechanics are focused around a single tool: The Magnet Gun. This device is the only thing that helps you navigate the vast and deadly prison-maze youve been cast into.,Guru Games,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/magnetic-cage-closed,T,55,Xbox One,Gambitious,2015-08-28,Magnetic: Cage Closed,NA,NA
7,"Join Wilbur, Ivo, Nate and Critter in another classic point-and-click adventure in the wicked world of Aventasia.",KING Art,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/the-book-of-unwritten-tales-2,T,79,Xbox One,Nordic Games Publishing,2015-09-18,The Book of Unwritten Tales 2,7,69
9,"Adventure Time: Finn and Jake Investigations is an all-new, real-time, fully 3D action-oriented twist on the classic story-driven graphic adventure game.  Finn and Jake decide to carry on the profession of Finn's foster parents, who were Professional Investigators.  Confronted with mysterious Land of Ooo disappearances and strange events, players will interrogate colorful inhabitants, dispatch evil doers in fast-paced combat, solve mind-bending puzzles, explore new and familiar locations, and genuinely feel as if they have stepped into their own personal episode of Adventure Time.",Vicious Cycle,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/adventure-time-finn-and-jake-investigations,E10+,66,Xbox One,Little Orbit,2015-10-20,Adventure Time: Finn and Jake Investigations,10,54
13,"Minecraft: Story Mode is an adventure game set in a Minecraft world. It is a 5-part episodic series that will take you to the Nether, the Farlands, the End, and beyond. You will determine how the story flows through the decisions you make: what you say to people (and how you say it), and what you choose to do in moments of action.",Telltale Games,Xbox One Adventure Games,Action Adventure,http://www.metacritic.com/game/xbox-one/minecraft-story-mode---episode-1-the-order-of-the-stone,E10+,77,Xbox One,Telltale Games,2015-10-13,Minecraft: Story Mode - Episode 1: The Order of the Stone,55,44
4,"Like all good tales, there’s more than one side to a story. Especially one about a Vault key, the Hyperion Corporation, bandits, loot, gangsters, Vault Hunters, secret Atlas tech, explosions, getaways, extortion, betrayal, and mayhem. Set after the events seen in Borderlands 2, Tales from the Borderlands is about Rhys, a Hyperion company man looking to become the next Handsome Jack, and it’s also about Fiona, a Pandoran con artist out to score the biggest of all swindles. Lured into danger by a Vault key and all it promises, the unlikely duo are thrown together with a common goal and a huge amount of mistrust. Who is telling the truth, and why is it important That’s up to you to decide. You are Rhys…and you are also Fiona, because like every tale worth telling, there are two…oh, you read that part already? Well, it’s important to remember that there *are* two sides to every story, and you my friend, you will tell this tale, or…tales, through the choices that you make. Your every decision as both Rhys and Fiona will affect the people and world around you: this is a game where YOU are the final author in a brand new Borderlands story set on the unforgiving world of Pandora. [TellTale Games]",Telltale Games,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/tales-from-the-borderlands-a-telltale-game-series,M,88,Xbox One,Take-Two Interactive,2015-10-20,Tales from the Borderlands: A Telltale Game Series,52,80
8,"Minecraft: Story Mode is like a playable TV show based on the Minecraft game, where YOU are the star, and your choices and actions decide how the story is told. You assume the role of Jesse, and you and your friends are thrown into an adventure to save the world. While visiting EnderCon, your crew stumbles on something dreadful. Terror is unleashed, and your only hope is to track down the “Order of the Stone”, a fabled group of adventurers who slew the legendary Ender Dragon. But where are they? In a race against time, you will travel across the over-world, through the Nether, to The End, and beyond. [Telltale Games]",Telltale Games,Xbox One Adventure Games,Action Adventure,http://www.metacritic.com/game/xbox-one/minecraft-story-mode---episode-2-assembly-required,E10+,61,Xbox One,Telltale Games,2015-10-27,Minecraft: Story Mode - Episode 2: Assembly Required,22,39
7,"In her mid-20's, Kelly has been forced to move back to Nebraska. Back to that flat expanse, that seemingly endless sea of rustling cornstalks peppered by rusty silos and rustier towns. A typically intense Midwestern storm is approaching while Kelly is out; she has to get home. In the 20 miles between her grandparents' crumbling barn and her parents' house, she receives a phone call from her mother. Assume the role of Kelly during her drive through the storm in Three Fourths Home: Extended Edition. While driving through a stylized representation of rural Nebraska, players navigate an extended conversation between Kelly and her parents and younger brother. Through dialogue choice and simple driving mechanics, this critically-acclaimed visual short story explores a specific moment of these characters' lives and their relationships with one another. The Extended Edition of Three Fourths Home includes an epilogue that expands on the story of the main game. Set at a bus stop in snowy Minnesota, this epilogue examines Kelly's past as well as the effects that the events of the main story have had on her.",[bracket]games,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/three-fourths-home-extended-edition,M,64,Xbox One,Digerati Distribution,2015-11-27,Three Fourths Home: Extended Edition,8,31
9,"Minecraft: Story Mode is like a playable TV show based on the game, where YOU are the star, and your choices and actions decide how the story is told. You are Jesse, and you and your friends are thrown into an adventure to save the world. While visiting EnderCon, your gang stumbles on something dreadful. Terror is unleashed, and your only hope is to track down the “Order of the Stone”, a fabled group of adventurers who slew the legendary Ender Dragon. But where are they? In a race against time, you will travel across the over-world, through the Nether, to The End, and beyond.",Telltale Games,Xbox One Adventure Games,Action Adventure,http://www.metacritic.com/game/xbox-one/minecraft-story-mode---episode-3-the-last-place-you-look,E10+,75,Xbox One,Telltale Games,2015-11-24,Minecraft: Story Mode - Episode 3: The Last Place You Look,16,61
8,"Minecraft: Story Mode is like a playable TV show based on the Minecraft game, where YOU are the star, and your choices and actions decide how the story is told. You assume the role of Jesse, and you and your friends are thrown into an adventure to save the world. While visiting EnderCon, your crew stumbles on something dreadful. Terror is unleashed, and your only hope is to track down the “Order of the Stone”, a fabled group of adventurers who slew the legendary Ender Dragon. But where are they? In a race against time, you will travel across the over-world, through the Nether, to The End, and beyond. [Telltale Games]",Telltale Games,Xbox One Adventure Games,Action Adventure,http://www.metacritic.com/game/xbox-one/minecraft-story-mode---episode-4-a-block-and-a-hard-place,E10+,71,Xbox One,Telltale Games,2015-12-22,Minecraft: Story Mode - Episode 4: A Block and a Hard Place,8,51
7,"Your chronicle is about to come to a conclusion. With House Whitehill tightening its grip on Ironrath at the behest of Ramsay Bolton, the remaining Forresters need to give their all to save the family, whether through diplomacy, subterfuge, or violent force. In the frozen wilds beyond The Wall, Gared learns the secrets of the mysterious North Grove, and Mira discovers that political games in a King's Landing controlled by Cersei Lannister often involve the highest stakes of all. What is the fate of House Forrester? When you play the Game of Thrones, you win or you die. Your choices, your story: you decide. [Telltale Games]",Telltale Games,Xbox One Adventure Games,Action,http://www.metacritic.com/game/xbox-one/game-of-thrones-episode-six---the-ice-dragon,M,80,Xbox One,Telltale Games,2015-11-17,Game of Thrones: Episode Six - The Ice Dragon,28,80
11,Kings Quest - Chapter 1: A Knight to Remember is required to play this content and is sold separately.,The Odd Gentlemen,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/kings-quest-chapter-2-rubble-without-a-cause,E10+,71,Xbox One,Sierra Games,2015-12-15,King's Quest Chapter 2: Rubble Without a Cause,11,57
6,"You are John T. Longy, a night-watchman at JUPITER, a secret base, set in an old, partially abandoned research facility in a remote countryside location. JUPITER is the main laboratory of the OLYMPUS GROUP.",Z4g0 and Ivan Venturi Productions,Xbox One Adventure Games,Action Adventure,http://www.metacritic.com/game/xbox-one/albedo-eyes-from-outer-space,T,55,Xbox One,Merge Games,2016-01-20,Albedo: Eyes from Outer Space,NA,NA
7,"The ABC Murders is an adventure and investigation game adapted from the classic Agatha Christie novel. Assume the role of the famous private detective Hercule Poirot and, once again, you find yourself up against a mysterious serial killer who goes by the name of ""ABC"".",Microids,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/agatha-christies-the-abc-murders,T,66,Xbox One,Microids,2016-02-23,Agatha Christie's The ABC Murders,8,75
9,"In this premiere episode, 'In Too Deep,' Michonne joins Pete and his crew on the sailing ship The Companion as they cruise the coast for survivors and supplies. When a desperate signal for help draws them to a scene of horrific massacre, Michonne and the crew are lead further to the floating survivors' colony of Monroe, which may just be harboring the person responsible for the carnage. [TellTale Games]",Skybound LLC,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/the-walking-dead-michonne---episode-1-in-too-deep,M,65,Xbox One,Telltale Games,2016-02-23,The Walking Dead: Michonne - Episode 1: In Too Deep,29,72
10,Layers of Fear is a psychedelic horror where you take control over an insane painter in his quest to finish his magnum opus.,Bloober Team,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/layers-of-fear,M,78,Xbox One,Aspyr,2016-02-16,Layers of Fear,72,75
6,"Surrounded by the dead and mistrustful of the living, you – as Michonne - will choose how the story flows through the choices you make, in this three-part episodic miniseries.",Telltale Games,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/the-walking-dead-michonne---episode-2-give-no-shelter,M,78,Xbox One,Telltale Games,2016-03-29,The Walking Dead: Michonne - Episode 2: Give No Shelter,11,63
5,"Lone Wolf is back in video game form with a brand-new story and a deep combat system. Acclaimed author Joe Dever played an active role in the development of the game and his new narrative follows on from his classic 1980’s gamebook, shedding a new light on Lone Wolf’s world, Magnamund. The Console Edition includes all 4 acts of the story. Are you ready to write your own destiny?",Forge Reply,Xbox One Adventure Games,Action,http://www.metacritic.com/game/xbox-one/joe-devers-lone-wolf-console-edition,T,71,Xbox One,505 Games,2016-03-16,Joe Dever's Lone Wolf Console Edition,NA,NA
6,"In Episode 5, on a tip from Ivor, Jesse and friends head to an abandoned temple holding mysterious treasures. Ambushed by former Ocelot Aiden and his crew, our heroes find themselves in an entirely new world: Sky City! As they explore, the Order finds that resources are at a premium, and nothing but 'The Void' exists below the known world. When Aiden convinces Sky City's ruler that the New Order of the Stone are up to no good, you'll need to make some tough choices to clear your name, and keep Aiden from destroying an innocent world.",Telltale Games,Xbox One Adventure Games,Action Adventure,http://www.metacritic.com/game/xbox-one/minecraft-story-mode---episode-5-order-up!,E10+,69,Xbox One,Telltale Games,2016-03-29,Minecraft: Story Mode - Episode 5: Order Up!,6,52
5,"Embark on a bold adventure in Adam’s Venture: Origins. Set in the roaring 20’s, in Adam’s Venture: Origins you will explore ancient ruins, and recover mysterious artifacts. Together with your trusted accomplice Evelyn, you will have to outsmart the evil Clairvaux company.",Vertigo Games,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/adams-venture-origins,E,48,Xbox One,Soedesco,2016-04-01,Adam's Venture: Origins,5,62
8,NA,Sassybot,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/fragments-of-him,M,71,Xbox One,Sassybot,2016-06-01,Fragments of Him,4,73
8,"Continuing Sierra and The Odd Gentlemen’s modern reimagining of the classic adventure game series, Once Upon A Climb focuses on King Graham’s quest to rescue his future bride—Queen Valanice—from the wicked witch Hagatha’s tower.",The Odd Gentlemen,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/kings-quest-chapter-3-once-upon-a-climb,NA,80,Xbox One,Sierra Games,2016-04-26,King's Quest Chapter 3: Once Upon a Climb,11,52
4,The season finale.,Telltale Games,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/the-walking-dead-michonne---episode-3-what-we-deserve,M,73,Xbox One,Telltale Games,2016-04-26,The Walking Dead: Michonne - Episode 3: What We Deserve,11,77
5,"Among The Sleep invites you into the mind and body of a two year old child. After being put to bed one evening, mysterious things start to happen.",Krillbite Studio,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/among-the-sleep,T,62,Xbox One,Krillbite Studio,2016-06-03,Among the Sleep,NA,NA
9,"From the studio that brought you Master Reboot comes a first-person story-driven adventure puzzle game, set in the beautiful, haunting cyber-world of Elysia. Collect unique hand powers, discover multiple endings and choose your own destiny as you unravel the mystery of your digital afterlife.",Wales Interactive Ltd.,Xbox One Adventure Games,Adventure,http://www.metacritic.com/game/xbox-one/soul-axiom,T,54,Xbox One,Wales Interactive Ltd.,2016-06-08,Soul Axiom,NA,NA
5,The sixth episode of Telltale's series.,Telltale Games,Xbox One Adventure Games,Action Adventure,http://www.metacritic.com/game/xbox-one/minecraft-story-mode---episode-6-a-portal-to-mystery,E10+,71,Xbox One,Telltale Games,2016-06-07,Minecraft: Story Mode - Episode 6: A Portal to Mystery,6,65
12,"The Amazing Spider-Man, this all-new third-person action-adventure video game builds on the story of the previous game with an alternative take on the events of the upcoming movie, while also giving players an enhanced, free-roaming web-slinging experience through a greatly expanded New York City.",Beenox,Xbox One Action Games,Action,http://www.metacritic.com/game/xbox-one/the-amazing-spider-man-2,T,46,Xbox One,Activision,2014-04-29,The Amazing Spider-Man 2,57,50
26,"Project Spark gives players the power to build, play, and share their very own games and worlds on the Xbox One.",Microsoft Game Studios,Xbox One Action Games,General,http://www.metacritic.com/game/xbox-one/project-spark,E10+,73,Xbox One,Microsoft Game Studios,2014-03-04,Project Spark,154,70
7,"The Last Agent, the last installment in The Untold Stories of Los Perdidos, centers around on Brad Park, an agent for the Federal Bureau of Zombie Defense and Control.",Capcom Vancouver,Xbox One Action Games,Action,http://www.metacritic.com/game/xbox-one/dead-rising-3-the-last-agent,M,51,Xbox One,Microsoft Game Studios,2014-03-18,Dead Rising 3: The Last Agent,24,40
17,"Detective Ronan O'Connor's life is brought to an end when a brutal killer confronts him during a burglary. This detective with a checked past now finds himself trapped in the afterlife, his only escape from this nether world of ""Dusk"" is to bring the truth of his death and his killer to light using his newly developed supernatural abilities. As Ronan, you can explore the town of Salem for clues, battle demon spirits to save your soul, and unearth revelations about who is responsible for your untimely death.",Airtight Games,Xbox One Action Games,Action,http://www.metacritic.com/game/xbox-one/murdered-soul-suspect,M,51,Xbox One,Square Enix,2014-06-03,Murdered: Soul Suspect,142,71
